#{"t_start": 1777901893.9573681, "env_id": "None"}
r,l,t
-571.250933,37,499.358845
10.864064,55,499.422657
282.555262,70,499.509205
-272.736482,61,499.582347
1494.902506,51,499.644318
3271.2785,148,499.817114
532.729551,104,508.175365
1383.500758,83,508.282427
-21.664177,67,508.359872
2396.501287,94,508.466762
1967.324856,78,508.561225
1434.990231,68,508.640519
1699.607714,52,508.700111
3242.526327,146,508.893065
2187.833735,84,516.012972
1257.077796,90,516.121263
1952.774955,80,516.230126
-647.298173,37,516.272023
-13.034792,66,516.358455
2009.509034,88,516.45866
3051.098716,120,516.598591
3572.568207,131,516.754351
1236.067745,58,524.999792
2495.549546,100,525.119653
1163.863551,94,525.235009
280.385954,88,525.338219
1699.975305,79,525.433543
1241.488148,37,525.477617
-646.622953,68,525.55363
1466.134936,46,525.609896
-742.660905,27,533.572395
-151.244789,51,533.652189
3345.703398,155,533.920723
1839.234398,74,534.051733
-829.853934,26,534.104728
1376.569135,101,534.300468
2508.288542,100,534.445057
-489.416428,60,534.517907
1732.660535,68,541.766783
-353.827666,46,541.8235
1294.953737,44,541.876261
3196.85563,125,542.026495
1260.265171,83,542.122953
3013.568322,118,542.257306
1014.171904,67,542.351826
1280.870102,64,542.426469
2087.923033,85,550.624983
-332.510124,52,550.687361
2959.406422,136,550.8447
352.55188,86,550.950343
2278.037263,81,551.046919
2322.850529,102,551.179965
1544.09689,117,551.331897
1412.099963,51,551.390386
2074.526986,109,559.022465
1796.06064,58,559.11416
1769.584005,86,559.245646
1371.84209,99,559.395054
2218.966334,115,559.585921
-709.458203,28,559.635119
3146.685421,168,559.91775
-494.261241,46,560.001888
1416.656886,91,567.584333
1426.021564,47,567.638719
-822.632136,26,567.671529
1424.063342,82,567.766207
1500.898895,85,567.871421
-269.112614,56,567.935227
-238.990973,45,568.003574
2687.713106,147,568.187635
2733.059035,105,576.331081
1885.308066,71,576.418978
1758.418839,125,576.580843
1844.112389,78,576.672702
-678.412866,40,576.721853
1219.986594,48,576.779594
1953.092059,121,576.917756
1865.954655,75,577.0115
1311.340328,75,584.189543
1906.410862,70,584.311404
3404.059337,154,584.588372
-454.13702,41,584.653461
2967.843057,166,584.956729
-672.610689,25,584.994111
3136.578151,169,585.26744
2591.12598,130,585.476156
3408.569207,152,593.464324
557.251055,76,593.552885
3117.983037,150,593.73748
-407.24562,51,593.795389
688.156218,60,593.866785
1298.185302,69,593.948265
-260.778395,47,594.010544
1386.672351,93,594.118712
2974.594849,114,602.262607
-540.837195,38,602.308943
3606.350781,173,602.5217
3148.257251,150,602.70186
1242.212636,73,602.806948
-558.291088,37,602.849512
-816.152663,25,602.87787
3541.736514,147,603.056853
1818.12725,83,610.265873
1499.568816,82,610.359922
1188.875444,79,610.460955
2238.944539,84,610.558757
1394.175483,106,610.686489
1280.527287,38,610.75518
817.098041,46,610.84253
-806.284256,24,610.890721
1456.045234,53,619.103984
-471.435961,34,619.144748
-170.986788,59,619.217107
2198.10864,102,619.345024
-577.854815,33,619.381613
-108.588473,64,619.455483
1958.756963,92,619.561589
3515.48432,154,619.76013
799.202565,60,627.924299
-171.837484,56,627.997749
2128.308613,132,628.174985
1906.49959,77,628.264043
2780.185514,118,628.399701
2618.72524,98,628.518424
2515.662934,128,628.679666
1087.341143,39,628.723505
-889.226094,35,635.947864
694.317857,97,636.061703
1886.308,99,636.176805
1637.781753,69,636.268989
3011.115006,174,636.49136
1816.098189,88,636.596726
1930.012455,89,636.710249
1331.23436,69,636.791473
48,230.125489
1215.016824,77,230.316095
2385.435941,114,230.624339
-652.188061,29,230.700461
1753.32292,73,230.893099
3805.545299,170,231.349121
-775.591427,40,231.472118
1555.681291,104,231.731559
1299.045089,61,231.880424
-893.664237,20,231.931799
-846.451241,29,232.003072
-666.046252,30,232.073921
2695.939232,151,232.476095
2084.13311,123,234.69427
1979.241907,75,234.883832
2819.8605,119,235.179666
1557.022897,58,235.33134
852.133227,95,235.57779
3230.619261,179,236.033401
-406.466943,69,236.216132
-921.579157,31,236.289877
2081.852601,120,237.277184
1126.32981,55,237.411693
1781.402907,67,237.586283
1196.576151,134,237.9417
3496.379603,169,238.367678
1213.066928,46,238.487693
1333.322298,66,238.64937
1782.426463,86,238.884399
-767.095142,29,238.963524
-478.457838,33,239.046475
-970.573833,28,239.117399
3171.425349,189,239.590684
1731.449122,85,239.860683
1821.089248,75,240.140894
-629.110697,37,240.272675
-1114.306858,63,240.491227
-750.743735,40,240.624817
775.417906,64,243.378937
1392.097135,95,243.614089
3116.409243,149,243.994744
3869.928512,214,244.546864
3448.651997,153,244.935683
-551.914269,43,245.643315
-345.670465,45,245.758395
1305.065214,40,245.86126
225.397559,105,246.130274
1333.563115,87,246.366091
3038.858548,133,246.698571
-754.831224,54,246.836569
1685.139028,70,247.017682
-733.524506,28,247.08604
-371.959122,40,247.212499
2209.278162,97,247.456649
-851.443661,30,247.531749
-665.103532,30,247.611916
-699.070305,46,247.727409
1132.435942,66,247.8907
-824.739464,28,247.963989
2525.446659,102,248.23811
1574.891019,55,248.378948
2052.777927,86,248.589177
2791.577277,185,249.055668
-976.520272,36,249.144934
-708.905389,39,251.127308
1470.57387,71,251.309433
1125.470858,54,251.460287
-404.013955,40,251.55847
-529.433674,42,251.661591
-162.385673,72,251.843554
2260.744886,101,252.088874
-315.424529,78,252.29081
1310.185986,75,252.495419
2194.134523,117,253.954926
1004.133628,54,254.143513
2282.705013,110,254.517397
3551.903141,185,255.198138
1260.306374,86,255.51959
3173.874814,148,256.114239
-115.41439,61,256.278212
-484.63451,37,256.370246
-791.29523,74,256.553293
-719.096285,44,256.665422
1879.536877,74,256.867388
3076.802508,160,257.284168
2380.898781,117,257.578343
2903.531745,127,257.927861
-293.477963,80,258.126522
-193.949736,55,260.230674
-411.186794,41,260.332957
1106.540302,41,260.436775
-782.691233,31,260.514599
-609.229067,36,260.602195
-546.449882,36,262912.672661338.251817,47,260685.908171369.084622,66,263111.220443590.247504,145,261383.475892587.235259,113,22802.233171,151,262.912416
-637.7028522540.60931,110,21696.1269253262.908122,183,263.561481
1512.640166,69,263.737076
1891.390467,64,263.89041
3206.978544,181,264.372549
1418.173185,83,264.577504
-551.477541,42,22483.8681513128.669801,147,265.060175
3760.76644,157,23376.120821679.180636,56,2651052.51461,114,265.858582
1268.485008,45,265.971411
-613.9513108.844797,192,269.26345
3333.918182,168,269.704248
2842.696666,138,270.050667
3312.459815,205,271.664372
1286.762751,77,271.855724
1348.404288,81,272.056974
3440.260629,187,272.556118
-1257.107795,31,272.639839
1294.070971,49,272.766927
44.462687,64,2721894.15503606.206566,152,273.318578
-798.960013,25,2731696.0582691.610615,110,2733178.4722746.654604,108,273.1974.691-537.714014,40,2744.631322,89,274.25219
-269.263189,43,274.364171
3076.277015,149,274.756692
1223.857229,45,274.871357
-801.3534,48,274.997619
1933.806682,103,275.264322
-915.290191,52,275.395181
3143.132288,178,277.712803
1512.033976,52,277.866992
873.355494,143,278.227393
-344.89108,41,278.329566
-721.675944,24,278.389874
1281.566741,103,279.776119
1192.415006,121,280.228104
-254.313331,51814.129046,122484.196991,942931.776016,1-271.625267,71,1620.101592,-348.108615,44,3503.881622,151,281.653222
-664.678834,35,281.782767
1882.904836,77,282.102641
-440.674354,3056.386322,165,282.540763
-179.472391,61687.13367,1042455.583196,12775.159492,130,283.064034
1276.339175,592055.273285,12368.558428,1032225.543157,11637.29455,80,23151.180378,182,284.050108
-488.828396,36,284.139268
2184.617951,81,284.365776
1633.010049,109,286.521907
-813.034373,24,286.52421.85294.353021,69,286.751759.2-694.73178,31,286.841684.3719.307864,164,287.252387.887842,125,287.454328
427.525353,112,288.549205
3080.251606,139,288.893765
3004.698984,123,289.203999
3875.275825,188,289.697109
-352.026138,54,289.8377
2844.816907,165,290.247859
-583.044689,29,290.322123
1795.604213,97,290.583091
2517.870335,128,290.902861
3679.864796,156,291.288633
975.766799,107,291.578444
2670.979731,117,291.876095
1705.486643,121,292.218034
1906.343467,130,292.672583
-571.447122,41,295.396942
-305.86216,46,295.528975
7.056712,61,295.688396
241.445282,87,295.918722
-840.219708,26,295.988685
119.885072,77,296.17888
2683.76144,125,297.422156
-318.482758,45,297.533118
1624.543872,151,297.940202
108.392776,106,298.210912
-420.356956,49,298.331122
-43.254918,51,298.468931
1338.166224,53,298.598851
3455.544612,137,298.958232
832.07631,78,299.155656
1869.026205,88,299.383004
2112.047505,105,299.645863
-81.968732,54,299.778235
170.332198,59,299.949079
1492.989341,79,300.152437
-333.181494,49,301284.084183402.479148,178,300.723932
1265.905845,60,300.87383
2467.033675,103,301.150223
2113.147115,96,301.397029
1215.057296,65,303.550208
1275.706929,66,303.708746
789.108982,84,303.919249
-233.791461,54,304.065476
2319.821709,127,305.176309
-9.007352,76,305.372545
1419.367169,56,305.566251
671.547342,105,305.944455
2172.461961,158,306.498627
2065.019484,95,306.838246
-328.814081,53,307.015793
784.020327,66,307.27028
-422.657337,38,307.429469
-492.063015,37,307.572389
-523.316355,68,307.830538
1152.506203,51,308.015766
-863.840085,40,308.12618.120761,100,308.381681
1246.3046.21022,113,308.7781427.65751,64,308.936858
1266.86244,93,309.182064
1234.002162,64,309.350826
2791.241334,135,309.725694
2241.138863,148,310.10104
-604.157261,32,310.17872
2527.516715,192,312.499658
2591.435847,97,312.768256
2033.29003,126,313.081504
-153.125956,61,313.940341
1542.500638,84,314.152902
2471.81355,119,314.449594
2896.213245,131,314.78731
3385.801571,143,315.143085
1028.988844,84,315.362056
2991.423829,133,315.71139
-398.266513,54,315.840537
2407.248727,125,316.166235
3214.003836,166,316.59422
1623.589592,77,316.799347
-764.370587,24,316.85651
-273.223984.026259,174,317.1277.0641261.303357,111,317.332709
378.147894,102,317.59011
-534.9121,37,317.681832.21782.890673,89,317.935119
2632.460738,124,318.248058
-458.080276,40,318.357848
-327.576829,44,321.002063
2880.668823,142,321.543325
-1010.860395,47,322634.823857.111816,160,323.346184
2401.839714,94,323.618302
3010.290949,172,324.044659
2237.402982,154,324.447838
670.634463,55,324.594484
1297.417394,102,324.848178
3723.322542,173,325.295479
1224.122101,53,325.431476
3683.42925,184,325.890605
2913.244304,141,326.25754
-7.408461,84,326.479598
2715.692936,164,326.893225
2047.866764,143,327.267948
-557.226833,40,327.367751
-740.010425,41,327.480109
2309.132763,93,329.711906
492.013614,79,329.914093
2502.533762,142,331.547422
1264.446323,56,331.689468
1485.312225,112,332.017818
2363.368105,95,332.364987
1048.634678,74,332.65199
2685.492081,144,333.175754
2865.564653,156,333.738952
2635.948916,145,334.279003
-614.371794,34,334.400733
-765.139288,29,334.504948
2281.491171,111,334.963861
2375.963491,113,335.373581
1491.449503,111,335.659045
1591.980289,67,335.84158
-889.310342,33,335.92781
1119.830691,99,336.168822
1676.310362,68,336.347845
-522.666356,42,336.452945
2641.312001,138,336.816269
-493.486958,54,336.947619
2787.184475,98,337.202576
1370.539471,56,339.165367
-545.368279,78,339.368175
1897.160146,139,340.711216
1877.140076,169,341.168207
2450.642713,150,341.548056
-441.820242,58,341.687246
1802.954416,78,341.888886
2447.378757,108,342.176683
2501.847019,122,342.489512
1859.688679,85,342.703591
2111.866875,96,342.947425
-871.668035,31,343.03897
-471.420018,44,343.159915
1260.678416,72,343.338921
-753.872478,23,343.397586
3590.720559,164,343.821218
3329.687712,169,344.268296
944.612813,59,344.410364
-378.977137,51,344.551068
-267.476243,52,344.684647
2360.033197,120,344.984903
2044.090125,102,345.259958
-430.150097,37,345.379951
3630.186503,217,349.671737
1633.643622,93,349.906883
1562.235836,55,350.041503
1248.711427,45,350.151901
983.857562,96,350.421098
1932.447973,134,350.764612
-532.036298,40,350.877792
1273.635799,68,351.052521
1306.363248,44,351.162832
-139.832435,83,351.385668
-269.287244,68,351.577059
2458.582944,118,351.88693
2049.949696,85,352.099746
-708.609224,26,352.162081
-568.380958,42,352.266135
1275.633428,47,352.380743
1767.155717,75,352.59594
1907.199469,102,352.8573
1574.50623,65,353.026424
-240.02069,48,353.143793
11.64801,79,353.343363
1051.984733,55,353.482641
3020.070532,128,353.832158
-611.464262,36,353.95962
-679.653858,64,354.125375
1052.66192,66,354.293685
-116.566332,60,354.449031
3293.546524,163,357.569345
1337.382434,54,357.725964
279.961182,83,357.931646
2598.414362,117,358.224093
3179.872314,162,358.66727
-664.893875,32,358.808096
-672.430542,38,358.944376
1122.818808,112,359.323387
1233.718412,78,359.586916
2146.055936,85,359.891583
-18.133123,62,360.100058
2068.624713,90,360.402771
1582.61947,95,360.739376
-695.997029,39,360.907064
2094.775635,89,361.232122
1695.00062,70,3612139.871-833.820536,50,361.722002
1878.195431,92,362.097888
-389.569534,39,362.204707
1041.88863,44,362.312125
-547.768401,36,362.4778.5381261.954748,73,3622626.70383865.660227,200,363.11777
60.417184,62,363.282685.9-816.225854,86,363.499663
2481.736721,148,366.574375
3491.472791,194,367.066561
1234.734618,114,367.380176
-101.445739,53,367.51094
3377.4903,125,367.826317
2869.438385,169,368.271282
-866.1464,34,368.355376
-827.514887,24,368.423573891397.225709,77,368.620141752797.628482,156,369.011922402855.853508,126,369.34491
65.519975,638,370.963669
1777.098449,102,371.218625
2020.965323,87,372.184777
1250.104285,104,375.20382
1723.597268,75,375.40068
-845.583961,32,375.480334
2508.977481,103,375.762433
-278.80831,56,375.899387
-736.836449,26,375.970922
-438.024712,46,376.08458
1576.565581,67,376.262977
1324.302167,86,376.479128
-811.625024,26,376.548552
1427.569011,63,376.723868
