Time,Longitude,Latitude,Altitude,Roll,Pitch,Heading
640.142,32.94438655,40.1299081,3554.60099,-0.2316465594,-0.4943393168,303.1425374
641.142,32.94376248,40.13016739,3552.765095,0.1560509595,-0.45361981,303.3446017
642.142,32.9431403,40.13042764,3552.583303,0.4165449562,0.2469787066,303.4557426
643.142,32.94252115,40.13068879,3553.995272,1.096338103,0.2267696709,303.8592975
644.142,32.94190521,40.13095194,3555.258618,1.130884666,-1.599412698,304.2446567
645.142,32.94129043,40.13121823,3554.586081,0.7110090322,-1.794906906,304.5158426
646.142,32.94067631,40.13148744,3553.229926,0.88671186,-0.04283553805,304.5789535
647.142,32.94006489,40.13175823,3553.604157,0.6212977525,0.5494663605,304.9917975
648.142,32.93945699,40.13202977,3555.511529,-0.9260584987,0.01029821772,305.1530992
649.142,32.93885075,40.13230048,3558.102775,-2.022219657,0.8409937753,305.0066326
650.142,32.93824524,40.13256837,3561.258303,-4.022176313,0.5286760651,304.8647013
651.142,32.93763879,40.13283167,3564.533215,-4.290036695,0.8786203803,304.257798
652.142,32.93703111,40.13308963,3568.186771,-2.512784334,0.859831864,303.8709634
653.142,32.93642389,40.13334436,3571.917537,-0.6654597279,-0.007957170383,303.6304588
654.142,32.93581815,40.1335985,3575.594339,0.9722331388,0.7864628257,303.6540366
655.142,32.93521609,40.13385392,3580.212559,2.640837147,1.169549513,303.9269163
656.142,32.93461696,40.1341129,3584.77307,1.622521576,-0.54514776,304.550376
657.142,32.93401887,40.13437514,3587.520811,-0.5524331172,-1.000337126,305.0809724
658.142,32.93342134,40.13463898,3588.675074,0.4656646352,-0.6698825956,304.9282767
659.142,32.93282486,40.1349045,3589.302831,1.672665303,-0.8135932976,305.246946
660.142,32.93223086,40.13517314,3590.006962,2.227559049,-0.5242294519,305.5998482
661.142,32.9316397,40.13544531,3590.483876,1.136384569,-1.381023803,306.2634967
662.142,32.93104983,40.13572049,3590.096429,-0.8652031141,-1.151010352,306.3312249
663.142,32.93045916,40.13599641,3589.08965,-1.692664417,-0.9163038147,306.4453437
664.142,32.92986704,40.136272,3587.625831,-1.618603182,-1.652495861,306.3361426
665.142,32.92927283,40.1365479,3585.249569,-0.7051215159,-1.484641081,306.0048238
666.142,32.92867765,40.13682438,3583.69755,0.9778845868,0.2113009066,306.1888564
667.142,32.92808599,40.13710239,3584.92445,3.069998423,0.8381572725,306.5066241
668.142,32.9275011,40.13738391,3588.390675,4.93057397,0.1135861259,307.3777738
669.142,32.92692417,40.13767183,3592.579662,6.519493256,-0.1405261529,308.2633488
670.142,32.92635469,40.13796864,3596.328075,7.057998177,-0.5002869708,309.5846899
671.142,32.9257941,40.13827505,3600.051136,7.174954067,-0.0595797468,311.3677517
672.142,32.92524324,40.13859158,3603.934113,7.75001843,-0.6115457898,312.9677645
673.142,32.92470287,40.13891901,3607.528442,8.536524958,-0.890147712,314.423551
674.142,32.9241747,40.13925769,3610.956528,9.995539596,-0.9312450669,316.750296
675.142,32.92366175,40.13960998,3614.369871,11.96985444,-1.220059403,318.3785311
676.142,32.92316663,40.139977,3617.45213,13.79160164,-1.864114865,320.7654363
677.142,32.92269307,40.14036047,3620.397373,15.20763646,-1.205373002,323.6606169
