#{"t_start": 1777903206.291314, "env_id": "None"}
r,l,t
-876.199847,38,308.939213
247.490201,132,309.114635
-1091.102515,25,309.15044
-755.59137,33,309.19307
-437.597085,49,309.250529
3399.483589,186,309.510665
-445.04041,89,309.61891
-1154.850558,54,318.843311
619.182891,79,318.947317
795.77541,129,319.128241
2221.545396,171,319.344162
2958.028181,166,319.554889
1926.947802,133,319.714619
-782.234639,23,319.747716
-741.920592,42,319.803656
2344.943289,146,329.01116
-1221.388576,62,329.095533
-993.773806,22,329.130208
726.34187,121,329.282548
-2077.731011,50,329.359559
190.40782,103,329.496716
-1377.941378,61,329.575493
1601.580912,107,329.735018
2026.136301,146,337.929564
3261.217373,164,338.225787
-1066.119192,29,338.286344
1917.595505,123,338.509315
2729.446823,135,338.732073
-965.903365,27,338.796089
-902.938425,24,338.8409
2310.868953,134,339.096898
2217.572647,135,347.912916
3012.116501,175,348.140069
1241.534498,79,348.238824
1998.583075,143,348.422167
704.498827,154,348.631092
-898.426336,20,348.662263
-616.261095,43,348.729618
-357.226982,38,348.77774
2900.862299,162,358.15502
-775.937139,31,358.204215
2456.660482,158,358.41294
-558.180081,33,358.459367
-819.769709,20,358.503042
2087.764887,155,358.694067
-673.26521,121,358.856995
525.54167,93,358.975069
916.969356,114,367.866626
3643.143939,174,368.168719
3250.320653,170,368.512597
-575.624407,41,368.58981
2871.858086,176,368.877937
3286.135395,184,369.113208
-540.68519,62,369.189444
-808.578971,24,369.227337
2075.742671,162,377.438341
2843.834656,160,377.644217
915.84907,130,377.808774
2772.733385,134,377.987202
-683.724375,55,378.056968
2607.194788,154,378.253923
-1081.468018,41,378.323387
-1717.79684,44,378.386749
-1019.38479,63,387.55641
-483.809086,114,387.696117
-1129.107376,26,387.743727
-227.352928,111,387.894647
-284.907717,64,387.974489
-819.191237,28,388.015336
-126.263223,77,388.124681
-703.193062,30,388.166497
1711.106152,147,397.465079
2265.819537,145,397.644412
-767.530957,31,397.696031
2794.348547,180,397.916894
2659.829183,145,398.109438
-950.779706,22,398.143254
-591.109813,60,398.218443
2740.896598,154,398.434532
-235.984437,43,406.658498
-298.376353,96,406.839408
1695.861052,119,407.048129
2516.441167,143,407.286926
2261.952533,141,407.519495
1882.29272,114,407.708139
693.950434,113,407.905447
-727.824475,41,407.978559
-564.210973,32,414.472161
-769.607119,61,414.547728
1844.026766,130,414.718711
2326.696363,181,414.944134
-4931.597492,922,416.121845
2874.036072,163,416.345021
1911.460514,173,416.571484
-809.354832,28,416.608172
428.889772,73,425.919637
1355.501024,134,426.09284
1704.579638,157,426.286266
-998.881303,20,426.316725
3614.184409,199,426.571595
-1066.338459,45,426.629206
718.829404,97,426.770175
190.88745,140,426.971637
-817.521571,42,435.797502
2418.828791,156,436.099591
1454.667595,135,436.356592
1493.865088,148,436.594496
1997.176681,157,436.794314
1617.91215,134,436.986269
-1471.944333,82,437.083653
1114.493206,141,437.265548
2071.341771,111,445.221992
757.56294,85,445.334538
-209.92238,57,445.417221
2597.303268,127,445.581183
3090.507459,144,445.774029
-1029.626026,55,445.864129
3214.330462,175,446.094104
-838.412209,30,446.133154
-913.639415,27,455.085769
1312.915661,139,455.25592
3367.174442,175,455.495963
1029.58123,112,455.663219
-779.140354,29,455.70101
3207.044168,146,455.889606
701.831793,157,456.083212
-890.294291,61,456.173684
-702.317559,26,465.267711
3098.44908,198,465.52672
903.871458,107,465.662601
-956.843514,25,465.696415
3201.058748,150,465.89096
3551.43149,188,466.146097
1750.839052,119,466.292552
3732.192551,192,466.539266
1374.838945,118,475.487485
2502.528318,136,475.761142
-461.621255,83,475.905434
2892.442271,166,476.219452
3061.517699,173,476.548689
982.156095,198,476.830995
-918.981418,20,476.871527
3465.457655,187,477.09665
1053.008463,101,485.176623
2357.163685,150,485.364587
-473.388978,37,485.410732
1442.282996,109,485.565804
-1165.966413,25,485.602122
-1603.99524,71,485.692061
2719.816378,140,485.875214
-959.126442,25,485.911421
-988.148376,60,494.867022
-950.109496,30,494.913421
367.615563,53,495.012254
-485.390366,51,495.08349
-90.628131,62,495.165846
2288.399674,136,495.339604
-780.491339,51,495.412217
2120.020701,138,495.580591
-794.287568,33,504.728405
2941.062422,150,504.930226
-624.531012,62,505.008691
-744.442425,78,505.110112
368.704376,70,505.227103
-332.429436,118,505.37456
1951.127592,160,505.600026
2042.272268,158,505.802758
-1653.767272,103,514.015145
-1134.92595,108,514.2092
-755.906084,154,514.463099
2179.477003,147,514.730417
-952.926478,15,514.773615
2217.397906,122,514.982202
2856.781028,167,515.260836
-812.624742,44,515.337793
-685.956276,53,523.781581
2893.615338,178,524.023034
534.641528,105,524.160787
2957.497861,153,524.363882
2826.399584,160,524.577288
-979.023092,26,524.621336
1903.819304,124,524.778231
-806.932351,63,524.858021
2061.622359,106,533.976788
-992.508776,36,534.029542
-322.838406,57,534.100928
-1202.448069,52,534.16336
-894.491038,30,534.20204
3217.035666,175,534.425643
3385.866982,175,534.655632
-987.755507,39,534.709444
-889.409051,141,543.90611
1920.718346,111,544.052659
-539.602112,40,544.10091
2881.679053,129,544.258204
2981.291841,176,544.496721
1904.356074,140,544.679576
3231.989733,168,544.891027
2175.681693,139,545.078689
1837.220169,158,553.289642
