#{"t_start": 1777893224.684507, "env_id": "None"}
r,l,t
1411.089493,70,547.13636
414.361332,73,547.220839
2393.021554,96,547.330403
2234.704674,79,547.426908
53.500749,71,547.505191
2412.175912,96,547.620202
2180.873407,83,557.046113
2163.316097,94,557.161851
3363.377447,175,557.374875
1665.03038,53,557.435579
2047.983983,81,557.535675
-548.909127,31,557.573428
1358.021488,49,557.628146
1736.789361,59,557.697977
1619.736252,54,557.762284
2248.236609,100,557.877943
1893.759048,79,568.934813
1583.952761,55,569.02948
1241.041809,88,569.190161
2605.044846,99,569.345549
1216.797061,62,569.453214
2711.631316,124,569.664088
3149.258686,150,569.934136
2158.606881,73,570.078342
1695.595044,75,570.17476
2226.428711,78,570.265159
2511.204012,92,578.637823
1233.490656,46,578.69759
2230.674443,90,578.802038
1653.159029,64,578.875582
-435.786774,35,578.917629
2472.070527,107,579.045664
1204.248964,64,579.121253
2371.118056,88,579.228548
2832.671768,118,579.376541
3431.031113,165,579.571046
2401.241135,86,588.945004
1755.211129,58,589.01003
1611.784041,74,589.095912
1446.043776,118,589.246895
1480.049814,50,589.322854
2210.148036,81,589.415845
1407.864239,69,589.505157
2998.200906,121,589.645533
-451.175663,45,589.695556
1755.634472,71,589.784192
983.154529,94,599.137897
1540.443825,64,599.20755
1913.165711,82,599.30842
1419.126704,84,599.405813
-864.25124,21,599.42938
2254.911334,112,599.574234
2803.00833,96,599.695079
1702.684071,57,599.761393
2485.090053,114,599.894829
3434.841618,129,600.048229
-806.370304,27,611.496222
1262.6348,46,611.546809
-837.696597,23,611.576001
1992.510992,102,611.706702
-384.25769,47,611.759451
2542.070786,104,611.881241
-399.292116,44,611.930864
2704.053184,112,612.065159
1532.055482,58,612.135153
1440.135709,95,612.270818
-878.581529,26,621.08835
1647.280415,69,621.195779
1030.411908,59,621.284432
154.855319,64,621.384823
3500.503808,140,621.591555
1426.581355,132,621.805725
2768.152993,104,621.975777
1277.966406,40,622.037223
2281.525571,87,622.186229
1336.261196,57,622.29669
3023.757539,133,631.071727
2972.111469,138,631.251397
-838.59345,22,631.275882
3022.888979,117,631.406761
2493.754421,85,631.519105
